001, DELEGACION ESTATAL EN AGUASCALIENTES, AGUASCALIENTES, AGS
002, DELEGACION ESTATAL EN BAJA CALIFORNIA, BAJA CALIFORNIA, BC
003, DELEGACION ESTATAL EN BAJA CALIFORNIA SUR, BAJA CALIFORNIA SUR, BCS
004, DELEGACION ESTATAL EN CAMPECHE, CAMPECHE, CAMP
005, DELEGACION ESTATAL EN COAHUILA, COAHUILA, COAH
006, DELEGACION ESTATAL EN COLIMA, COLIMA, COL
007, DELEGACION ESTATAL EN CHIAPAS, CHIAPAS, CHIS
008, DELEGACION ESTATAL EN CHIHUAHUA, CHIHUAHUA, CHIH
010, DELEGACION ESTATAL EN DURANGO, DURANGO, DGO
011, DELEGACION ESTATAL EN GUANAJUATO, GUANAJUATO, GTO
012, DELEGACION ESTATAL EN GUERRERO, GUERRERO, GRO
013, DELEGACION ESTATAL EN HIDALGO, HIDALGO, HGO
014, DELEGACION ESTATAL EN JALISCO, JALISCO, JAL
015, DELEGACION ESTATAL EN EL ESTADO DE MÉXICO, MÉXICO, MEX
016, DELEGACION ESTATAL EN MICHOACÁN, MICHOACÁN, MICH
017, DELEGACION ESTATAL EN MORELOS, MORELOS, MOR
018, DELEGACION ESTATAL EN NAYARIT, NAYARIT, NAY
019, DELEGACION ESTATAL EN NUEVO LEÓN, NUEVO LEÓN, NL
020, DELEGACION ESTATAL EN OAXACA, OAXACA, OAX
021, DELEGACION ESTATAL EN PUEBLA, PUEBLA, PUE
022, DELEGACION ESTATAL EN QUERÉTARO, QUERÉTARO, QRO
023, DELEGACION ESTATAL EN QUINTANA ROO, QUINTANA ROO, QR
024, DELEGACION ESTATAL EN SAN LUIS POTOSÍ, SAN LUIS POTOSÍ, SLP
025, DELEGACION ESTATAL EN SINALOA, SINALOA, SIN
026, DELEGACION ESTATAL EN SONORA, SONORA, SON
027, DELEGACION ESTATAL EN TABASCO, TABASCO, TAB
028, DELEGACION ESTATAL EN TAMAULIPAS, TAMAULIPAS, TAMS
029, DELEGACION ESTATAL EN TLAXCALA, TLAXCALA, TLAX
030, DELEGACION ESTATAL EN VERACRUZ, VERACRUZ, VER
031, DELEGACION ESTATAL EN YUCATÁN, YUCATÁN, YUC
032, DELEGACION ESTATAL EN ZACATECAS, ZACATECAS, ZAC
091, DELEGACION REGIONAL NORTE CIUDAD DE MÉXICO, ZONA NORTE, DF NTE
092, DELEGACION REGIONAL ORIENTE CIUDAD DE MÉXICO, ZONA ORIENTE, DF OTE
093, DELEGACION REGIONAL SUR CIUDAD DE MÉXICO, ZONA SUR, DF SUR
094, DELEGACION REGIONAL PONIENTE CIUDAD DE MÉXICO, ZONA PONIENTE, DF PTE
