001, DEL. ESTATAL EN AGUASCALIENTES, AGUASCALIENTES, AGS
002, DEL. ESTATAL EN BAJA CALIFORNIA, BAJA CALIFORNIA, BC
003, DEL. ESTATAL EN BAJA CALIFORNIA SUR, BAJA CALIFORNIA SUR, BCS
004, DEL. ESTATAL EN CAMPECHE, CAMPECHE, CAMP
005, DEL. ESTATAL EN COAHUILA, COAHUILA, COAH
006, DEL. ESTATAL EN COLIMA, COLIMA, COL
007, DEL. ESTATAL EN CHIAPAS, CHIAPAS, CHIS
008, DEL. ESTATAL EN CHIHUAHUA, CHIHUAHUA, CHIH
010, DEL. ESTATAL EN DURANGO, DURANGO, DGO
011, DEL. ESTATAL EN GUANAJUATO, GUANAJUATO, GTO
012, DEL. ESTATAL EN GUERRERO, GUERRERO, GRO
013, DEL. ESTATAL EN HIDALGO, HIDALGO, HGO
014, DEL. ESTATAL EN JALISCO, JALISCO, JAL
015, DEL. ESTATAL EN EL ESTADO DE MÉXICO, MÉXICO, MEX
016, DEL. ESTATAL EN MICHOACÁN, MICHOACÁN, MICH
017, DEL. ESTATAL EN MORELOS, MORELOS, MOR
018, DEL. ESTATAL EN NAYARIT, NAYARIT, NAY
019, DEL. ESTATAL EN NUEVO LEÓN, NUEVO LEÓN, NL
020, DEL. ESTATAL EN OAXACA, OAXACA, OAX
021, DEL. ESTATAL EN PUEBLA, PUEBLA, PUE
022, DEL. ESTATAL EN QUERÉTARO, QUERÉTARO, QRO
023, DEL. ESTATAL EN QUINTANA ROO, QUINTANA ROO, QR
024, DEL. ESTATAL EN SAN LUIS POTOSÍ, SAN LUIS POTOSÍ, SLP
025, DEL. ESTATAL EN SINALOA, SINALOA, SIN
026, DEL. ESTATAL EN SONORA, SONORA, SON
027, DEL. ESTATAL EN TABASCO, TABASCO, TAB
028, DEL. ESTATAL EN TAMAULIPAS, TAMAULIPAS, TAMS
029, DEL. ESTATAL EN TLAXCALA, TLAXCALA, TLAX
030, DEL. ESTATAL EN VERACRUZ, VERACRUZ, VER
031, DEL. ESTATAL EN YUCATÁN, YUCATÁN, YUC
032, DEL. ESTATAL EN ZACATECAS, ZACATECAS, ZAC
091, DEL. REGIONAL NORTE CIUDAD DE MÉXICO, ZONA NORTE, DF NTE
092, DEL. REGIONAL ORIENTE CIUDAD DE MÉXICO, ZONA ORIENTE, DF OTE
093, DEL. REGIONAL SUR CIUDAD DE MÉXICO, ZONA SUR, DF SUR
094, DEL. REGIONAL PONIENTE CIUDAD DE MÉXICO, ZONA PONIENTE, DF PTE
